"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Deaths >= 1""]"																																		
	1801	8	14			"Chokaisan"	"Honshu-Japan"	"Japan"	39.099	140.049	2236	"Stratovolcano"	2	"T"	8	1									8	1								
	1805	8	11			"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	2		4	1									4	1								
	1808	5	1			"Sao Jorge"	"Azores"	"Portugal"	38.65	-28.08	1053	"Fissure vent"	1	"L"	9	1									9	1								
	1812	4	27			"Soufriere St. Vincent"	"W Indies"	"St. Vincent & the Grenadines"	13.33	-61.18	1220	"Stratovolcano"	4	"T, m"	56	2						1		1	56	2						1		1
	1812	8	6			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P,M"	953	3									953	3								
	1814	2	1			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	4	"P,M,E"	1200	4						3		3	1200	4						3		3
	1815	4	10	613		"Tambora"	"Lesser Sunda Is"	"Indonesia"	-8.25	118	2850	"Stratovolcano"	7	"P,W,A,I"	11000	4				4		4		4	60000	4				4		4		4
	1816	7	5			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"T"	1	1									1	1								
	1822	3	9			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	4	"P"	50	1			53	2				2	50	1			53	2				2
	1822	10	8			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"	5	"P,M"	4011	4						3		3	4011	4						3		3
	1822	12	27			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		100	2				2		3		3	100	2				2		3		3
	1832	12	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		32	1								2	32	1								2
	1833	11	24			"Kaba"	"Sumatra"	"Indonesia"	-3.522	102.615	1940	"Stratovolcano"	2	"M"	126	3									126	3								
	1838	2	26			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	2	"T"	4	1									4	1								
	1840	7	2			"Ararat"	"Turkey"	"Turkey"	39.7	44.3	5165	"Stratovolcano"	3	"P"	1900	4									1900	4								
	1843	8				"Lamongan"	"Java"	"Indonesia"	-7.981	113.341	1641	"Stratovolcano"	2		4	1									4	1								
	1843	11	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"L"	56	2				2					56	2				2				
	1845	2	19		1867	"Ruiz, Nevado del"	"Colombia"	"Colombia"	4.892	-75.324	5279	"Stratovolcano"	3	"M"	1000	3									1000	3								
	1846	5	7			"Taupo"	"New Zealand"	"New Zealand"	-38.82	176	760	"Caldera"		"m"	63	2									63	2								
	1848	5	16			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	2	"M"	21	1							800	3	21	1							800	3
	1853	6	24			"Niuafo'ou"	"Tonga-SW Pacific"	"Tonga"	-15.6	-175.63	260	"Shield volcano"	0	"L"	25	1									25	1								
	1853	7	13			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"P"	34	1								1	34	1								1
	1854	2				"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2		3	1									3	1								
	1856	3	2	859	1995	"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P"	2806	4				2		3		3	2806	4				2		3		3
	1856	9	25			"Hokkaido-Komagatake"	"Hokkaido-Japan"	"Japan"	42.063	140.677	1131	"Stratovolcano"	4	"P,T"	25	1								3	25	1								3
	1860					"Grimsvotn"	"Iceland-NE"	"Iceland"	64.416	-17.316	1719	"Caldera"		"m"	1	1									1	1								
	1861	5	7		2049	"Dubbi"	"Africa-NE"	"Eritrea"	13.579	41.809	1625	"Stratovolcano"	3		106	3						3		3	106	3						3		3
	1861	12	29			"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	4	"P,I"	326	3			47	1				3	326	3			47	1				3
	1864	1	3			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	2	"M"	54	2								3	54	2								3
	1866	2	20			"Santorini"	"Greece"	"Greece"	36.404	25.396	367	"Shield volcano"	2	"T"	1	1				1					1	1				1				
	1867	10	21			"Zaozan [Zaosan]"	"Honshu-Japan"	"Japan"	38.144	140.44	1841	"Complex volcano"	2	"M"	3	1									3	1								
	1869	7	7			"Lewotobi"	"Lesser Sunda Is"	"Indonesia"	-8.542	122.775	1703	"Stratovolcano"	2		2	1									2	1								
	1869	8				"Lamongan"	"Java"	"Indonesia"	-7.981	113.341	1641	"Stratovolcano"	2	"T,A"	8	1									8	1								
	1871	8	7			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	2	"T"	1	1			1	1					1	1			1	1				
	1871	12	8			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"P"	3	1									3	1								
	1872	4	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"T"	30	1				1			50	1	30	1				1			50	1
	1872	4	17			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"P"	170	3								2	170	3								2
	1872	4	24			"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	3	"L,G"	9	1			11	1					9	1			11	1				
	1872	11	3			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"P,T"	200	3						3		3	200	3						3		3
	1872	12				"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	3	"T"	4	1									4	1								
	1873					"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"		"G,T"	9	1									9	1								
	1874	7	3			"Miyakejima"	"Izu Is-Japan"	"Japan"	34.094	139.526	775	"Stratovolcano"	3	"T"	1	1							45	1	1	1							45	1
	1875					"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"		"m"	1500	4									1500	4								
	1877	6	25			"Cotopaxi"	"Ecuador"	"Ecuador"	-0.677	-78.436	5911	"Stratovolcano"	4	"M"	340	3									340	3								
	1878	1		1095	6195	"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"	3	"T"	1	1									1	1								
	1883	8	27	1142		"Krakatau"	"Indonesia"	"Indonesia"	-6.102	105.423	155	"Caldera"	6	"W,P,I"	2000	4				3		3		3	36417	4				3		3		3
	1883	10	6	1143		"Augustine"	"Alaska-SW"	"United States"	59.363	-153.43	1252	"Lava dome"	4		8	1									8	1						1		1
	1885	4	18			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"A"	74	2									74	2								
	1886	1	11			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	4	"P"	2	1									2	1								
	1886	6	10	5777		"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"	2	"T"	153	3									153	3								
	1887	3	9			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"T"	15	1						1		1	15	1						1		1
	1888	7	15			"Bandaisan"	"Honshu-Japan"	"Japan"	37.601	140.072	1816	"Stratovolcano"	4	"A,P"	461	3			70	2		2		2	461	3			70	2		2		2
	1892	5	21			"Sorikmarapi"	"Sumatra"	"Indonesia"	0.686	99.539	2145	"Stratovolcano"	2	"M"	180	3									180	3								
	1892	6	7	1197		"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P,M"	1532	4						3		3	1532	4						3		3
	1893	6	7			"Azumayama"	"Honshu-Japan"	"Japan"	37.735	140.244	1949	"Stratovolcano"	2	"T"	2	1									2	1								
	1894	10				"Ambrym"	"Vanuatu-SW Pacific"	"Vanuatu"	-16.25	168.12	1334	"Pyroclastic shield"	3	"T,L"	10	1									10	1								
	1895	6	17			"Karkar"	"New Guinea-NE of"	"Papua New Guinea"	-4.647	145.976	1839	"Stratovolcano"	2	"I,M"	1	1									21	1								
	1895	10	16			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"	2	"T"	4	1									4	1								
	1896	3	15			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"	2	"T"	1	1			1	1					1	1			1	1				
	1897	5	23			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"P,T,M"	350	3									350	3								
	1899	11	13			"Dona Juana"	"Colombia"	"Colombia"	1.5	-76.936	4137	"Stratovolcano"	4	"P"	55	2									55	2								
	1899					"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	2		2	1									2	1								
	1900	1	22			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2		25	1									25	1								
	1900	2	16			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"	2		2	1			3	1					2	1			3	1				
	1900	7	17			"Adatarayama"	"Honshu-Japan"	"Japan"	37.647	140.281	1728	"Stratovolcano"	2	"T"	72	2			10	1					72	2			10	1				
	1902	5	5	2881		"Pelee"	"W Indies"	"Martinique"	14.809	-61.166	1372	"Stratovolcano"	4	"W,M"	23	1									23	1								
	1902	5	7	2873		"Soufriere St. Vincent"	"W Indies"	"St. Vincent & the Grenadines"	13.33	-61.18	1220	"Stratovolcano"	4	"P"	1680	4				3		1			1680	4				3		1		
	1902	5	8	1288		"Pelee"	"W Indies"	"Martinique"	14.809	-61.166	1372	"Stratovolcano"	4	"P"	28000	4									28000	4								
	1902	8	7			"Izu-Torishima"	"Izu Is-Japan"	"Japan"	30.484	140.303	394	"Stratovolcano"	3		125	3									125	3								
	1902	8	30	1291		"Pelee"	"W Indies"	"Martinique"	14.809	-61.166	1372	"Stratovolcano"	4	"P"	1500	4									1500	4								
	1902	10	25			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"	6	"T,G"	2500	4						2		2	10000	4						2		2
	1902	12				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	16	1			45	1				2	16	1			45	1				2
	1903	8	30			"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"	1	"T"	4	1									4	1								
	1903					"Karthala"	"Indian O-W"	"Comoros"	-11.75	43.38	2361	"Shield volcano"		"G"	17	1									17	1								
	1904	2	25			"Karthala"	"Indian O-W"	"Comoros"	-11.75	43.38	2361	"Shield volcano"	2	"L"	1	1						1			1	1						1		
	1905	3	10			"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	2	"T"	1	1			1	1					1	1			1	1				
	1906	4	4	3413		"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	3	"T,L"	350	3			300	3					350	3			300	3				
	1907	9	28			"Lewotobi"	"Lesser Sunda Is"	"Indonesia"	-8.542	122.775	1703	"Stratovolcano"	2		1	1				1					1	1				1				
	1909	9				"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"m"	221	3						1			221	3						1		
	1910	3	20			"Taupo"	"New Zealand"	"New Zealand"	-38.82	176	760	"Caldera"		"m"	1	1									1	1								
	1910	7	25			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	2	"M"	1	1									1	1								
	1911	1	30	1392	8391	"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"	3	"P,W"	1335	4			199	3		3	543	3	1335	4			199	3		3	543	3
	1911	5	8			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2	"T"	1	1			2	1			60	2	1	1			2	1			60	2
	1911	8	15			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2	"T"	2	1			36	1					2	1			36	1				
	1912	9	6			"Novarupta"	"Alaska Peninsula"	"United States"	58.27	-155.157	841	"Caldera"	6	"T"	2	1									2	1								
	1912	12	3			"Nyamulagira"	"Africa-C"	"Congo, DRC"	-1.408	29.2	3058	"Shield volcano"	3	"L"	20	1									20	1								
	1913	1	20			"Colima"	"Mexico"	"Mexico"	19.514	-103.62	3850	"Stratovolcano"	4	"P,m"	13	1									13	1								
	1913	5	29			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	1	"T"	1	1			1	1					1	1			1	1				
	1913	12	6			"Ambrym"	"Vanuatu-SW Pacific"	"Vanuatu"	-16.25	168.12	1334	"Pyroclastic shield"	3	"T"	21	1						3			21	1						3		
	1914	1	12	1412	2994	"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"	4	"I,S,A,T"	28	1				3	0.04	1	2148	4	63	2			112	3	19	3	2268	4
	1914	9	10			"Whakaari/White Island"	"New Zealand"	"New Zealand"	-37.52	177.18	294	"Stratovolcano"		"A"	11	1									11	1								
	1914					"Ambae"	"Vanuatu-SW Pacific"	"Vanuatu"	-15.389	167.835	1496	"Shield volcano"		"L"	100	2									100	2								
	1917	4	1			"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"	1	"T"	2	1			3	1					2	1			3	1				
	1917	6	7		6877	"San Salvador"	"El Salvador"	"El Salvador"	13.734	-89.294	1893	"Stratovolcano"	3	"S,L"	325	3									325	3								
	1919	5	19			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"M"	5110	4							9000	4	5110	4							9000	4
	1919	5	22	1476		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	3	"T"	4	1				3		1	10	1	4	1				3		1	10	1
	1919	7	6			"Nasudake"	"Honshu-Japan"	"Japan"	37.125	139.963	1915	"Stratovolcano"		"G"	2	1									2	1								
	1920	7	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	33	1									33	1								
	1921	11	26			"Nasudake"	"Honshu-Japan"	"Japan"	37.125	139.963	1915	"Stratovolcano"		"G"	1	1									1	1								
	1923	3	11			"Papandayan"	"Java"	"Indonesia"	-7.32	107.73	2665	"Stratovolcano"	1	"G"	1	1									1	1								
	1923	6				"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"		"G"	3	1									3	1								
	1923	7	1			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"	2		1	1									1	1								
	1924	5	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	2	"T"	1	1									1	1								
	1926	5	24			"Tokachidake"	"Hokkaido-Japan"	"Japan"	43.418	142.686	2077	"Stratovolcano"	3	"M,T"	144	3			207	3			5080	4	144	3			207	3			5080	4
	1927	9	5			"Esjufjoll"	"Iceland-SE"	"Iceland"	64.25	-16.583	1620	"Stratovolcano"	1	"M"	1	1									1	1								
	1928	1	23			"Santorini"	"Greece"	"Greece"	36.404	25.396	367	"Shield volcano"	2	"S"	48	1									48	1								
	1928	5	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2	"T"	40	1									40	1								
	1928	8	4	1607		"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3	"W,T"	98	2						1			226	3			200	3		2		2
	1928	11	2			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	1	"L"	5	1									5	1								
	1929	6	17			"Hokkaido-Komagatake"	"Hokkaido-Japan"	"Japan"	42.063	140.677	1131	"Stratovolcano"	4	"T"	2	1			4	1			1915	4	2	1			4	1			1915	4
	1929	8	2			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"T"	2	1									2	1								
	1929	11	2			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"	3	"P,M"	200	3									200	3								
	1930	8	20			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	3	"T"	6	1									6	1								
	1930	9	11	4218		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	3	"P,W,T"	5	1			20	1		2			6	1			20	1		2		
	1930	12	18			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P,M"	1369	4						3	1109	4	1369	4						3	1109	4
	1931	8	20			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	3		3	1									3	1								
	1932	10	1			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"	3	"M"	2	1			7	1					2	1			7	1				
	1933	5	10			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"		"G"	1	1									1	1								
	1933	12	24			"Kuchinoerabujima"	"Ryukyu Is"	"Japan"	30.443	130.217	657	"Stratovolcano"	4	"T"	8	1			26	1					8	1			26	1				
	1934					"Hood"	"US-Oregon"	"United States"	45.374	-121.695	3426	"Stratovolcano"		"G"	1	1									1	1								
	1936	7	29			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	3	"P,T"	2	1									2	1								
	1936	8	14			"Dona Juana"	"Colombia"	"Colombia"	1.5	-76.936	4137	"Stratovolcano"		"A,F"	18	1									18	1								
	1937	2	9			"Llaima"	"Chile-C"	"Chile"	-38.692	-71.729	3125	"Stratovolcano"	2	"F"	3	1						1			3	1						1		
	1937	5	29	1698	10010	"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"	4	"P,T,W,I"	507	3						1		1	507	3						1		1
	1938	5	9			"Bandaisan"	"Honshu-Japan"	"Japan"	37.601	140.072	1816	"Stratovolcano"		"m"	2	1									2	1								
	1939	8	17			"Izu-Torishima"	"Izu Is-Japan"	"Japan"	30.484	140.303	394	"Stratovolcano"	2		2	1									2	1								
	1939	10	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1	"T"	10	1						1			10	1						1		
	1940	6	20			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2		1	1			2	1					1	1			2	1				
